Station1,Station2,Line,Time,Fare,Lat1,Lon1,Lat2,Lon2
Sector V,Karunamoyee,Green,3,5,22.5813,88.4344,22.5855,88.4215
Karunamoyee,Central Park,Green,2,5,22.5855,88.4215,22.5881,88.4116
Central Park,City Centre,Green,3,5,22.5881,88.4116,22.5901,88.4019
City Centre,Bengal Chemical,Green,3,5,22.5901,88.4019,22.5786,88.4018
Bengal Chemical,Salt Lake Stadium,Green,3,5,22.5786,88.4018,22.5732,88.4025
Salt Lake Stadium,Phoolbagan,Green,4,5,22.5732,88.4025,22.5707,88.3905
Phoolbagan,Sealdah,Green,5,10,22.5707,88.3905,22.5670,88.3712
Sealdah,Esplanade,Green,5,10,22.5670,88.3712,22.5644,88.3529
Esplanade,Howrah Maidan,Green,6,10,22.5644,88.3529,22.5843,88.3308
Howrah Maidan,Howrah,Green,3,5,22.5843,88.3308,22.5839,88.3421
