Station1,Station2,Line,Time,Fare,Lat1,Lon1,Lat2,Lon2
Dakshineswar,Baranagar,Blue,3,5,22.6517,88.3562,22.6416,88.3683
Baranagar,Noapara,Blue,3,5,22.6416,88.3683,22.6441,88.3968
Noapara,Dum Dum,Blue,4,5,22.6441,88.3968,22.6214,88.4144
Dum Dum,Belgachia,Blue,4,5,22.6214,88.4144,22.6067,88.3961
Belgachia,Shyambazar,Blue,4,5,22.6067,88.3961,22.6009,88.3762
Shyambazar,Sovabazar Sutanuti,Blue,3,5,22.6009,88.3762,22.5937,88.3654
Sovabazar Sutanuti,Girish Park,Blue,3,5,22.5937,88.3654,22.5836,88.3582
Girish Park,MG Road,Blue,3,5,22.5836,88.3582,22.5768,88.3571
MG Road,Central,Blue,3,5,22.5768,88.3571,22.5707,88.3607
Central,Chandni Chowk,Blue,2,5,22.5707,88.3607,22.5668,88.3546
Chandni Chowk,Esplanade,Blue,2,5,22.5668,88.3546,22.5644,88.3529
Esplanade,Park Street,Blue,2,5,22.5644,88.3529,22.5532,88.3506
Park Street,Maidan,Blue,2,5,22.5532,88.3506,22.5457,88.3479
Maidan,Rabindra Sadan,Blue,3,5,22.5457,88.3479,22.5398,88.3468
Rabindra Sadan,Netaji Bhavan,Blue,2,5,22.5398,88.3468,22.5317,88.3461
Netaji Bhavan,Jatin Das Park,Blue,3,5,22.5317,88.3461,22.5242,88.3465
Jatin Das Park,Kalighat,Blue,2,5,22.5242,88.3465,22.5186,88.3467
Kalighat,Rabindra Sarobar,Blue,3,5,22.5186,88.3467,22.5103,88.3469
Rabindra Sarobar,Mahanayak Uttam Kumar,Blue,3,5,22.5103,88.3469,22.4975,88.3444
Mahanayak Uttam Kumar,Netaji,Blue,4,5,22.4975,88.3444,22.4842,88.3512
Netaji,Masterda Surya Sen,Blue,3,5,22.4842,88.3512,22.4764,88.3638
Masterda Surya Sen,Gitanjali,Blue,3,5,22.4764,88.3638,22.4709,88.3725
Gitanjali,Kavi Nazrul,Blue,3,5,22.4709,88.3725,22.4647,88.3809
Kavi Nazrul,Shahid Khudiram,Blue,3,5,22.4647,88.3809,22.4658,88.3934
Shahid Khudiram,Kavi Subhash,Blue,3,5,22.4658,88.3934,22.4721,88.4061
